,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,WHO Region
187,Liechtenstein,Europe,38139,89,,1.0,,85.0,,3.0,,900.0,Europe
188,Belize,North America,398312,86,,2.0,,31.0,,53.0,2.0,3679.0,Americas
189,French Polynesia,Australia/Oceania,281072,64,,,,62.0,,2.0,,5849.0,
190,St. Vincent Grenadines,North America,110976,56,,,,46.0,,10.0,,2447.0,
191,Saint Martin,North America,38729,53,,3.0,,41.0,,9.0,1.0,1183.0,
192,Macao,Asia,650193,46,,,,46.0,,0.0,,4071.0,
193,Curaçao,North America,164161,31,,1.0,,28.0,,2.0,,1080.0,
194,Fiji,Australia/Oceania,897095,27,,1.0,,18.0,,8.0,,6693.0,WesternPacific
195,Saint Lucia,North America,183712,25,,,,24.0,,1.0,,3895.0,Americas
196,Timor-Leste,Asia,1320812,25,,,,24.0,,1.0,,4238.0,South-EastAsia
197,Grenada,North America,112576,24,,,,23.0,,1.0,,6252.0,Americas
198,New Caledonia,Australia/Oceania,285769,22,,,,22.0,,0.0,,11099.0,
199,Laos,Asia,7285750,20,,,,19.0,,1.0,,29374.0,WesternPacific
200,Dominica,North America,72004,18,,,,18.0,,0.0,,1005.0,Americas
201,Saint Kitts and Nevis,North America,53237,17,,,,16.0,,1.0,,1146.0,Americas
202,Greenland,North America,56780,14,,,,14.0,,0.0,,5977.0,Europe
203,Montserrat,North America,4992,13,,1.0,,10.0,,2.0,,61.0,
204,Caribbean Netherlands,North America,26247,13,,,,7.0,,6.0,,424.0,
205,Falkland Islands,South America,3489,13,,,,13.0,,0.0,,1816.0,
206,Vatican City,Europe,801,12,,,,12.0,,0.0,,,Europe
207,Western Sahara,Africa,598682,10,,1.0,,8.0,,1.0,,,Africa
